EmployeeNumber,Age,Tenure,Turnover,HourlyRate ,HoursWeekly,CompensationType,AnnualSalary,DrivingCommuterDistance,JobRoleArea,Gender,MaritalStatus,NumCompaniesPreviouslyWorked,AnnualProfessionalDevHrs,PaycheckMethod,TextMessageOptIn
121,33,3,Yes,$28.09 ,40,Salary,58427.2,34,Sales,Female,Single,1,13,Mail Check,Yes
122,34,1,Yes,$28.09 ,40,Salary,58427.2,34,Sales,Female,Single,4,22,Mail Check,Yes
123,35,6,Yes,$26.84 ,40,Salary,55827.2,60,Sales,Male,Divorced,1,21,Mailed Check,Yes
124,38,3,No,$26.84 ,40,Salary,55827.2,60,Sales,Male,Divorced,2,25,Mailed Check,Yes
125,36,10,Yes,$34.87 ,40,Salary,72529.6,1,Research,Female,Single,1,N/A,Mail Check,Yes
126,48,13,Yes,$34.87 ,40,Salary,72529.6,1,Research,Female,Single,4,13,Mail Check,Yes
127,38,5,Yes,$83.05 ,40,Salary,172744,37,Marketing,Female,Single,1,5,Mailed Check,Yes
128,42,8,No,$83.05 ,40,Salary,172744,37,Marketing,Female,Single,6,12,Mailed Check,N/A
129,40,10,No,$59.45 ,40,Salary,123656,42,Research,Female,Married,6,N/A,Mail Check,Yes
130,45,16,Yes,$59.45 ,40,Salary,123656,42,Research,Female,Married,3,14,Mail Check,Yes
131,56,16,No,$35.54 ,40,Salary,73923.2,16,Healthcare,Male,Married,7,8,Mail Check,Yes
132,56,18,No,$35.54 ,40,Salary,73923.2,16,Healthcare,Male,Married,3,24,Mail Check,Yes
133,40,1,Yes,$43.00 ,40,Salary,89440,26,Sales,Female,Divorced,2,N/A,Direct_Deposit,Yes
134,44,10,Yes,$43.00 ,40,Salary,89440,26,Sales,Female,Divorced,6,18,Direct_Deposit,Yes
135,49,18,Yes,$62.53 ,40,Salary,130062.4,77,Healthcare,Male,Single,5,N/A,DirectDeposit,Yes
136,58,20,Yes,$62.53 ,40,Salary,130062.4,77,Healthcare,Male,Single,2,10,DirectDeposit,N/A
137,34,1,No,$26.06 ,40,Salary,54204.8,35,Laboratory,Female,Married,5,8,Direct Deposit,Yes
138,39,9,No,$26.06 ,40,Salary,54204.8,35,Laboratory,Female,Married,5,16,Direct Deposit,N/A
139,37,7,No,$60.01 ,40,Salary,124820.8,34,Healthcare,Female,Married,5,N/A,Mail Check,Yes
140,60,11,No,$60.01 ,40,Salary,124820.8,34,Healthcare,Female,Married,2,15,Mail Check,Yes
141,39,9,No,$50.74 ,40,Salary,105539.2,74,Manufacturing,Female,Married,3,N/A,Mail Check,Yes
142,54,11,Yes,$50.74 ,40,Salary,105539.2,74,Manufacturing,Female,Married,9,15,Mail Check,Yes
143,39,8,No,$53.28 ,40,Salary,110614.4,62,Manufacturing,Male,Divorced,4,7,Mail Check,Yes
144,54,10,No,$53.28 ,40,Salary,110614.4,62,Manufacturing,Male,Divorced,1,24,Mail Check,Yes
145,30,6,Yes,$24.64 ,40,Salary,51251.2,-10,Human_Resources,Female,Divorced,2,22,Direct_Deposit,Yes
146,30,1,No,$24.64 ,40,Salary,51251.2,-10,Human_Resources,Female,Divorced,3,N/A,Direct_Deposit,Yes
147,39,8,No,$86.33 ,40,Salary,179566.4,-2,Research,Female,Married,3,12,Mail Check,Yes
148,47,12,Yes,$86.33 ,40,Salary,179566.4,-2,Research,Female,Married,4,8,Mail Check,Yes
149,33,7,Yes,$31.10 ,40,Salary,64688,84,Human_Resources,Female,Single,1,21,Mailed Check,Yes
150,37,7,No,$31.10 ,40,Salary,64688,84,Human_Resources,Female,Single,6,N/A,Mailed Check,Yes
151,34,5,No,$23.37 ,40,Salary,48609.6,60,Information_Technology,Male,Divorced,2,18,Mail_Check,N/A
152,35,9,Yes,$23.37 ,40,Salary,48609.6,60,Information_Technology,Male,Divorced,5,25,Mail_Check,Yes
153,50,7,No,$60.42 ,40,Salary,125673.6,44,Information_Technology,Male,Divorced,1,12,DirectDeposit,Yes
154,55,19,No,$60.42 ,40,Salary,125673.6,44,Information_Technology,Male,Divorced,8,24,DirectDeposit,Yes
155,36,2,Yes,$28.04 ,40,Salary,58323.2,61,Manufacturing,Male,Married,2,8,Mailed Check,Yes
156,38,7,Yes,$28.04 ,40,Salary,58323.2,61,Manufacturing,Male,Married,6,10,Mailed Check,Yes
157,43,3,No,$59.17 ,40,Salary,123073.6,87,Sales,Female,Married,6,N/A,Mailed Check,Yes
158,55,14,No,$59.17 ,40,Salary,123073.6,87,Sales,Female,Married,8,21,Mailed Check,Yes
159,31,3,No,$25.41 ,40,Salary,52852.8,75,Marketing,Male,Single,2,N/A,Mail_Check,Yes
160,32,5,Yes,$25.41 ,40,Salary,52852.8,75,Marketing,Male,Single,1,N/A,Mail_Check,Yes
161,30,2,Yes,$25.57 ,40,Salary,53285.6,79,Healthcare,Male,Married,3,23,Mail_Check,Yes
162,33,9,No,$25.57 ,40,Salary,53285.6,79,Healthcare,Male,Married,4,N/A,Mail_Check,N/A
163,34,5,Yes,$28.09 ,40,Salary,58427.2,15,Sales,Male,Single,5,23,Mail_Check,Yes
164,36,5,No,$28.09 ,40,Salary,58427.2,15,Sales,Male,Single,2,12,Mail_Check,Yes
165,48,11,Yes,$33.29 ,40,Salary,69243.2,46,Research,Male,Single,3,17,Mail Check,Yes
166,61,11,No,$33.29 ,40,Salary,69243.2,46,Research,Male,Single,8,21,Mail Check,Yes
167,41,3,No,$91.85 ,40,Salary,331048,-5,Sales,Female,Married,6,25,Mail Check,Yes
168,58,16,No,$91.85 ,40,Salary,331048,-5,Sales,Female,Married,2,N/A,Mail Check,Yes
169,57,15,Yes,$45.29 ,40,Salary,94203.2,33,Healthcare,Male,Single,1,5,Mail Check,N/A
170,58,10,No,$45.29 ,40,Salary,94203.2,33,Healthcare,Male,Single,4,24,Mail Check,Yes
171,41,8,No,$96.17 ,40,Salary,200033.6,52,Laboratory,Male,Single,1,6,DirectDeposit,N/A
172,55,15,No,$96.17 ,40,Salary,200033.6,52,Laboratory,Male,Single,4,21,DirectDeposit,Yes
173,48,5,No,$76.51 ,40,Salary,159140.8,73,Information_Technology,Female,Single,8,22,Mail Check,Yes
174,61,10,No,$76.51 ,40,Salary,159140.8,73,Information_Technology,Female,Single,N/A,N/A,Mail Check,N/A
175,37,4,No,$57.15 ,40,Salary,128872,42,Information_Technology,Female,Divorced,6,23,Mail Check,Yes
176,42,3,Yes,$57.15 ,40,Salary,128872,42,Information_Technology,Female,Divorced,3,10,Mail Check,Yes
177,55,16,No,$64.59 ,40,Salary,134347.2,50,Manufacturing,Male,Divorced,8,5,Mail Check,Yes
178,56,17,Yes,$64.59 ,40,Salary,134347.2,50,Manufacturing,Male,Divorced,5,20,Mail Check,Yes
179,26,3,Yes,$22.38 ,40,Salary,46550.4,53,Laboratory,Male,Single,2,7,Direct_Deposit,Yes
180,26,3,No,$22.38 ,40,Salary,46550.4,53,Laboratory,Male,Single,2,N/A,Direct_Deposit,Yes
181,38,6,No,$44.26 ,40,Salary,92060.8,85,Human_Resources,Female,Married,1,18,Mailed Check,Yes
182,60,14,No,$44.26 ,40,Salary,92060.8,85,Human_Resources,Female,Married,4,22,Mailed Check,Yes
183,43,3,No,$71.87 ,40,Salary,149489.6,66,Marketing,Female,Married,8,19,DirectDeposit,Yes
184,55,8,Yes,$71.87 ,40,Salary,149489.6,66,Marketing,Female,Married,1,7,DirectDeposit,Yes
185,43,3,No,$64.88 ,40,Salary,134950.4,42,Human_Resources,Female,Divorced,8,N/A,Mail Check,Yes
186,48,20,No,$64.88 ,40,Salary,134950.4,42,Human_Resources,Female,Divorced,9,17,Mail Check,Yes
187,36,5,No,$42.17 ,40,Salary,87713.6,80,Manufacturing,Female,Divorced,6,9,Mail Check,Yes
188,41,9,Yes,$42.17 ,40,Salary,87713.6,80,Manufacturing,Female,Divorced,3,N/A,Mail Check,Yes
189,47,12,No,$37.36 ,40,Salary,77708.8,55,Research,Male,Divorced,4,N/A,Direct_Deposit,Yes
190,51,9,No,$37.36 ,40,Salary,77708.8,55,Research,Male,Divorced,7,20,Direct_Deposit,Yes
191,47,6,Yes,$32.42 ,40,Salary,67433.6,66,Sales,Female,Married,5,21,Mail Check,Yes
192,59,17,Yes,$32.42 ,40,Salary,67433.6,66,Sales,Female,Married,2,12,Mail Check,Yes
193,39,6,No,$31.08 ,40,Salary,64646.4,50,Sales,Male,Married,5,25,Mail Check,Yes
194,39,7,No,$31.08 ,40,Salary,64646.4,50,Sales,Male,Married,4,19,Mail Check,Yes
195,50,15,Yes,$86.72 ,40,Salary,280377.6,2,Healthcare,Female,Divorced,N/A,N/A,Mail Check,Yes
196,58,15,Yes,$86.72 ,40,Salary,280377.6,2,Healthcare,Female,Divorced,4,N/A,Mail Check,Yes
197,30,7,No,$30.80 ,40,Salary,64064,950,Information_Technology,Male,Married,3,21,Direct_Deposit,Yes
198,39,4,No,$30.80 ,40,Salary,64064,950,Information_Technology,Male,Married,1,N/A,Direct_Deposit,Yes
199,38,7,Yes,$86.23 ,40,Salary,179358.4,53,Marketing,Female,Married,6,7,DirectDeposit,Yes
200,42,4,No,$86.23 ,40,Salary,179358.4,53,Marketing,Female,Married,7,14,DirectDeposit,Yes
201,30,1,No,$28.33 ,40,Salary,58635.2,70,Human_Resources,Female,Single,3,12,Mailed Check,Yes
202,61,19,No,$40.71 ,40,Salary,84676.8,17,Sales,Female,Single,2,6,Mail Check,Yes
203,30,6,No,$28.63 ,40,Salary,59550.4,58,Marketing,Female,Divorced,2,14,Mail Check,Yes
204,41,2,No,$94.94 ,40,Salary,337475.2,15,Human_Resources,Female,Single,6,16,DirectDeposit,Yes
205,56,6,No,$36.39 ,40,Salary,75691.2,64,Laboratory,Female,Married,1,15,Mail Check,Yes
206,45,7,No,$70.20 ,40,Salary,146016,250,Marketing,Male,Married,2,10,Mailed Check,Yes
207,49,7,No,$95.60 ,40,Salary,338848,-12,Research,Male,Married,2,N/A,Mailed Check,Yes
208,34,2,Yes,$27.49 ,40,Salary,57179.2,43,Laboratory,Male,Single,4,N/A,Mailed Check,Yes
209,38,10,Yes,$88.71 ,40,Salary,284516.8,250,Sales,Male,Single,1,12,DirectDeposit,Yes
210,61,9,Yes,$90.68 ,40,Salary,288614.4,51,Human_Resources,Male,Married,4,N/A,Mail Check,Yes
211,56,9,Yes,$62.63 ,40,Salary,130270.4,250,Healthcare,Female,Divorced,6,13,DirectDeposit,Yes
212,42,5,No,$49.49 ,40,Salary,102939.2,33,Research,Female,Single,5,13,Mail Check,No
213,44,14,No,$59.65 ,40,Salary,124072,58,Marketing,Female,Divorced,4,19,DirectDeposit,Yes
214,36,9,No,$56.51 ,40,Salary,117540.8,-12,Information_Technology,Female,Married,6,21,Mailed Check,Yes
215,48,20,No,$64.27 ,40,Salary,133681.6,17,Sales,Female,Married,8,5,Mail Check,Yes
216,34,6,Yes,$29.97 ,40,Salary,62337.6,89,Sales,Male,Married,4,20,Mailed Check,Yes
217,38,8,Yes,$44.98 ,40,Salary,93558.4,74,Marketing,Female,Single,3,N/A,Mail Check,No
218,28,4,Yes,$25.45 ,40,Salary,52936,49,Laboratory,Female,Married,1,9,Mailed Check,Yes
219,55,5,No,$61.57 ,40,Salary,128065.6,250,Sales,Female,Married,1,21,Mail Check,Yes
220,39,2,No,$53.50 ,40,Salary,111280,81,Marketing,Female,Divorced,2,8,Mail Check,Yes
221,54,14,Yes,$45.84 ,40,Salary,95347.2,86,Healthcare,Male,Single,4,11,Mailed Check,No
222,30,5,No,$23.25 ,40,Salary,48360,84,Sales,Male,Single,1,N/A,Mail Check,Yes
223,54,11,No,$91.54 ,40,Salary,330403.2,52,Sales,Male,Single,1,9,Mailed Check,No
224,38,3,Yes,$86.01 ,40,Salary,178900.8,250,Manufacturing,Female,Divorced,1,11,DirectDeposit,Yes
225,36,9,No,$31.01 ,40,Salary,64500.8,0,Manufacturing,Male,Divorced,4,5,Mail Check,Yes
226,51,16,No,$40.58 ,40,Salary,84406.4,70,Information_Technology,Female,Divorced,9,N/A,Mail Check,Yes
227,41,9,No,$97.12 ,40,Salary,202009.6,-3,Research,Prefer Not to Answer,Divorced,1,23,DirectDeposit,Yes
228,31,8,Yes,$22.79 ,40,Salary,47403.2,15,Healthcare,Male,Single,3,12,Mailed Check,Yes
229,50,9,No,$60.97 ,40,Salary,126817.6,48,Marketing,Female,Single,3,13,Mail Check,No
230,32,5,Yes,$28.29 ,40,Salary,58843.2,12,Sales,Female,Married,2,N/A,Mail Check,Yes
231,57,13,No,$58.33 ,40,Salary,121035.2,17,Information_Technology,Male,Single,4,16,Mail Check,No
232,48,9,No,$92.37 ,40,Salary,332129.6,250,Laboratory,Male,Divorced,2,N/A,Mailed Check,Yes
233,49,8,No,$95.12 ,40,Salary,337849.6,55,Sales,Female,Married,9,19,Mailed Check,Yes
234,40,4,No,$31.33 ,40,Salary,64875.2,45,Human_Resources,Male,Single,9,N/A,Mailed Check,Yes
235,39,1,No,$48.11 ,40,Salary,100068.8,68,Research,Female,Divorced,3,16,Mail Check,Yes
236,37,1,Yes,$80.48 ,40,Salary,167398.4,57,Research,Male,Single,2,22,DirectDeposit,No
237,39,7,Yes,$36.68 ,40,Salary,76294.4,22,Human_Resources,Male,Married,4,N/A,Mail_Check,No
238,45,5,No,$65.57 ,40,Salary,136385.6,44,Healthcare,Female,Divorced,6,N/A,DirectDeposit,Yes
239,45,20,Yes,$82.26 ,40,Salary,171100.8,62,Manufacturing,Male,Single,1,9,Mail Check,No
240,40,10,No,$87.99 ,40,Salary,283033.2,17,Manufacturing,Female,Married,N/A,N/A,Mail Check,Yes
241,60,10,Yes,$33.45 ,40,Salary,69576,250,Manufacturing,Female,Divorced,3,N/A,Direct_Deposit,No
242,40,1,No,$75.97 ,40,Salary,158017.6,12,Sales,Female,Divorced,N/A,10,Mailed Check,Yes
243,45,13,Yes,$42.02 ,40,Salary,87401.6,77,Healthcare,Male,Single,2,23,Direct_Deposit,Yes
