CrimeRate,SchoolRating,Price
42.05,7.61,201083.057
46.56,7.5,289915.2581
7.73,7.02,500787.2489
81.73,6.44,453167.7797
44.88,6.25,468592.981
22.83,9.34,643648.7488
22.15,7.46,284846.2384
34.14,4.99,165266.5131
8.02,9.5,113423.8569
73.34,6.65,400906.5969
20.55,7.75,390164.8623
41.95,7.62,187995.7479
7.18,6.33,334882.4909
14.06,6.03,133991.8721
8.17,4.91,384299.924
41.28,6.2,173253.2882
19.13,4.34,365160.8737
16.96,5.52,315110.2214
67.25,7.96,544722.7857
39.91,8.76,103024.6398
33.85,7.31,236584.1873
29.56,6.59,407629.4936
36.55,7.19,506388.8471
50.4,7.34,297285.8169
2.94,4.3,290957.0203
21.98,7.46,350479.6175
24.34,8.58,179465.1961
38.18,8.43,510530.1082
22.74,6.45,447293.5671
50.89,6.52,312074.1011
50.76,7.72,143197.3936
61.17,1.35,118334.6332
61.69,5.31,99325.70034
41.66,2.8,104773.5017
1.62,6.01,236450.6019
52.54,6.15,163532.6969
17.49,10.0,452987.9875
12.81,8.7,313470.0031
65.77,4.67,380770.1555
61.57,8.62,411243.601
60.43,5.64,256564.7699
19.53,6.91,251183.1563
8.68,4.27,155965.7046
45.42,3.96,180707.6909
45.33,6.55,206294.6469
10.07,3.12,93883.51932
4.6,6.99,172888.1978
29.97,6.17,232326.4253
16.9,5.65,210467.5593
36.44,5.1,237388.69
60.61,6.57,497529.3938
33.8,4.28,137084.6115
42.76,5.88,312374.5689
37.66,9.4,530691.8255
43.53,3.99,238569.6214
50.24,9.02,272776.072
61.43,7.2,280135.5817
21.96,7.88,574520.8943
8.53,4.94,162605.8875
58.49,5.37,282254.4151
50.21,5.06,523913.4523
29.23,9.05,268097.0147
29.86,7.64,330576.3618
44.28,4.95,262653.3923
11.54,7.24,162547.0472
36.97,8.74,274124.9918
40.62,6.91,175680.1302
20.36,8.9,177882.2157
44.34,8.26,340979.9018
14.58,2.68,111889.5615
27.53,4.24,358367.7787
25.26,6.06,265278.7319
47.3,7.24,323896.9028
17.69,9.04,620197.351
63.37,7.98,134130.7502
42.13,10.0,304931.3849
47.36,6.29,335756.0143
2.02,5.18,372249.6346
41.33,6.56,520589.6866
40.73,6.09,411343.6274
6.45,7.18,571526.5617
41.15,4.96,245104.5692
18.98,5.89,235613.132
20.57,4.69,108935.8619
11.61,10.0,497908.5102
12.76,7.45,174200.3734
33.62,9.09,322341.8634
15.89,7.26,145942.1369
23.32,4.63,118104.4673
77.41,3.49,412440.005
39.47,9.35,238343.9376
32.58,2.76,122930.8342
39.33,8.63,246206.4743
75.51,5.51,147760.8634
9.63,6.24,165566.0579
60.21,5.93,109258.2332
23.11,5.59,527307.9088
37.98,8.67,780190.8628
43.98,3.76,157587.7771
30.6,4.35,235908.2389
49.3,5.02,161223.6344
37.59,6.57,201849.2072
5.72,5.3,123104.0484
4.07,5.95,155727.5636
34.06,5.82,421368.8869
46.48,4.57,111529.805
3.65,7.59,565338.9769
25.78,5.78,363985.391
43.93,7.98,733103.4288
48.09,7.14,316592.6204
23.25,8.04,172521.4329
23.29,5.81,258308.4169
30.07,5.88,175781.7126
1.93,7.48,192044.4362
1.27,6.35,193488.1005
27.82,6.5,305813.1243
30.13,8.82,103436.2248
37.58,6.8,242450.3356
14.61,5.2,675749.7362
45.32,7.83,318126.9653
7.15,6.29,206316.8392
52.73,7.55,397238.4498
16.6,3.73,115156.9002
26.55,8.77,233534.837
20.35,8.69,265015.4048
44.63,8.06,542916.9681
8.96,10.0,314737.1867
23.4,6.55,234433.7794
23.73,6.46,204687.7228
40.56,9.87,624004.5467
3.07,9.59,192100.1045
23.03,4.6,220351.6395
5.37,8.71,679097.4556
91.47,5.48,205922.9258
37.93,8.64,145164.6243
18.69,6.92,336955.922
13.15,9.23,466709.337
21.19,3.98,324337.8834
34.34,10.0,445058.7417
59.45,7.45,340097.7088
0.88,8.59,257093.7751
30.13,8.88,352999.1133
70.32,5.26,152467.1669
33.2,10.0,511448.6747
23.87,5.85,248336.565
35.1,8.38,155146.8993
43.9,5.65,177944.3403
55.84,10.0,277389.5276
65.46,7.45,126108.4073
31.0,9.11,405334.8917
42.87,5.57,129571.1343
16.47,6.36,503922.7306
49.21,8.88,631038.2748
16.52,8.15,516799.3191
48.12,7.15,142639.1425
18.9,6.6,202084.3426
24.14,10.0,348991.4784
42.17,5.74,235364.9007
30.52,6.75,342576.4266
3.83,8.35,184100.4687
22.94,10.0,461983.6949
65.66,6.72,266465.0939
20.92,8.57,264687.482
36.31,3.22,203962.6062
36.93,6.66,241942.875
26.53,3.78,164491.9501
40.74,5.45,135815.7113
29.39,6.05,330861.4805
6.4,7.57,387483.377
43.69,2.73,252928.8126
6.17,9.31,497905.6963
46.48,4.26,551289.4411
34.88,7.42,165425.0982
60.8,6.45,393815.2236
24.53,10.0,646182.2465
13.69,7.64,296121.6951
34.29,6.92,432179.2694
47.8,5.61,401065.9409
1.9,5.84,214089.6239
21.6,7.43,407852.18
54.62,6.21,405574.4351
43.6,9.03,129485.9721
49.7,4.74,280418.7304
35.59,7.72,323691.9893
25.03,9.22,102580.7852
27.48,5.81,107330.1073
53.75,5.78,302811.6508
55.05,7.33,524598.9768
90.25,6.44,154684.3011
31.84,7.09,158109.1568
35.1,10.0,369157.1951
37.89,6.26,244766.5398
56.88,6.69,169536.3962
64.36,5.43,278642.1448
10.43,8.7,423641.3572
4.33,8.43,354961.7707
47.4,7.94,244662.9562
56.08,4.87,343336.0697
53.07,7.32,214297.0732
4.74,6.82,266337.8745
20.56,7.57,244814.255
45.88,4.04,415681.7376
31.61,8.64,521954.8921
24.37,7.9,283519.0624
32.64,7.29,343053.3563
42.91,9.48,623993.8792
9.83,7.33,88580.3812
47.57,4.46,269536.7121
55.91,6.73,229785.0799
40.32,4.25,232594.7678
57.62,4.5,327626.1061
24.01,10.0,248086.4852
33.47,6.09,168532.7932
42.39,6.41,240754.6703
25.49,6.51,317898.9263
18.79,5.64,251869.3825
1.9,6.99,327448.2674
61.7,4.85,149402.0683
31.93,5.82,182818.7408
28.07,7.8,351747.2649
4.26,9.95,214596.5987
23.53,9.52,658461.7223
82.91,8.45,492994.8442
7.5,5.93,219968.9935
41.58,8.02,283743.8872
41.02,4.96,303853.3608
11.43,8.99,252796.5789
25.88,7.88,368824.7083
19.95,6.68,419123.8418
2.93,6.97,187888.8282
38.98,4.24,356569.8677
23.23,5.67,347052.8596
68.04,5.68,189564.2486
13.26,8.86,284318.2353
61.59,8.24,202859.3176
18.64,8.99,361331.6827
13.25,9.07,713993.1241
62.73,7.32,191718.172
17.2,4.71,229928.759
15.34,7.89,150695.0969
32.15,7.74,336337.6459
16.95,8.01,344786.63
43.56,5.8,280494.9248
10.86,10.0,360491.2038
37.34,5.84,300740.9772
17.32,6.93,550091.5551
10.57,5.72,236691.7614
51.3,7.77,123575.9347
20.86,7.06,260356.7383
45.63,6.71,323646.6032
50.56,1.9,98622.30842
38.5,8.74,652902.385
28.71,6.8,313766.7632
39.76,3.11,190662.9313
10.54,6.77,485170.8378
31.76,5.49,207331.9679
4.79,8.11,111298.1421
38.64,4.38,169416.882
1.79,4.78,232506.3177
33.12,7.39,610064.7447
45.32,4.79,256123.2288
39.12,7.23,822630.8227
3.99,9.03,201575.1283
7.79,8.01,319705.9149
8.45,7.82,509492.6003
25.56,10.0,295980.5785
20.54,4.0,113104.3844
56.8,6.67,120438.0192
43.5,4.36,345504.5387
48.45,8.59,110454.7642
61.68,4.25,119563.1348
40.4,10.0,662675.9344
33.33,10.0,586725.5921
33.54,7.1,124414.6586
35.96,3.47,202946.7719
44.88,6.67,294006.8647
31.67,7.53,251042.806
31.52,6.81,218754.4913
25.64,6.96,122559.9246
2.74,10.0,339351.4185
5.79,8.59,504221.8113
30.12,6.22,361257.3895
15.05,10.0,493629.1326
49.71,9.08,365843.4516
41.8,8.28,248789.3322
17.7,5.66,95067.28153
1.82,6.27,551047.2345
21.93,6.26,93963.58358
37.99,9.07,312594.3837
50.8,5.64,244610.7551
54.97,7.28,477219.5197
2.54,7.12,342939.5367
15.82,7.23,95856.1153
57.27,6.62,541235.5038
55.14,5.13,537982.891
56.21,7.16,170808.2439
56.68,8.31,244009.9532
36.74,7.43,222140.2512
42.6,9.69,254840.1404
6.05,4.41,98056.79277
6.5,7.8,317672.2156
15.63,10.0,463689.7188
25.04,6.95,195341.3991
27.6,10.0,474816.6255
44.88,5.18,446542.03
22.98,7.98,198672.4582
10.01,7.0,244504.4305
22.8,9.08,393259.0021
3.66,5.17,248310.5492
26.82,8.07,175701.0941
29.97,3.48,204755.9384
17.77,5.49,195416.5331
44.83,5.7,135333.7626
20.39,9.14,254110.0525
59.58,5.41,187420.2746
23.91,8.05,383541.8907
33.86,10.0,499542.613
83.45,8.73,702265.437
62.82,10.0,591930.0137
69.8,7.73,230285.191
51.63,9.86,272823.1207
2.52,7.04,249268.1619
29.83,6.22,257438.9156
32.66,9.92,466401.4281
29.21,4.81,146268.2679
32.34,6.61,201890.2908
17.49,8.13,240045.8232
52.07,6.14,339091.8612
46.62,9.44,351210.4303
43.67,6.9,256372.5145
20.86,8.16,618110.2488
40.63,3.36,113299.4671
1.26,6.12,240851.9783
37.13,7.9,265397.8247
0.3,5.8,322496.1499
42.24,5.78,154546.2588
43.64,7.61,355509.5762
45.71,8.75,479105.0217
8.17,9.53,503702.0815
26.51,5.46,400789.3699
10.83,10.0,416597.0363
39.39,8.65,321147.6717
15.0,8.62,409672.2311
31.59,7.56,463029.2579
19.94,9.87,428899.4386
34.93,5.28,314818.9064
14.57,10.0,277255.8684
1.51,5.38,140842.3883
23.64,4.65,109087.4478
3.1,8.75,269688.4728
33.99,6.24,215665.2148
48.88,7.14,469333.7639
32.79,5.69,193712.9455
21.42,9.45,309141.3191
38.25,4.58,220315.6302
4.42,7.57,103727.154
6.68,10.0,476261.3868
12.17,5.49,243722.0049
46.06,6.26,157550.5442
53.58,10.0,449192.4444
31.79,9.0,273769.0828
29.62,7.1,383798.3606
37.17,7.93,172227.7567
38.76,7.35,275767.8705
21.63,7.67,420255.3959
39.66,6.11,92151.74651
21.5,8.79,297714.1583
16.34,8.99,465411.917
38.1,4.95,234150.2392
34.02,8.07,257273.9223
34.69,4.36,97427.25678
0.81,10.0,767721.1084
47.65,3.77,320500.8382
18.04,7.29,312782.8059
23.92,8.58,446075.8762
28.06,6.39,164309.6409
58.97,3.03,174452.5836
26.96,9.4,516020.9028
36.56,9.29,202100.7793
0.1,8.81,473382.5348
15.61,8.32,110864.4095
40.84,5.51,327347.9656
25.16,8.17,400944.4919
29.36,7.38,373346.7227
24.75,4.39,196620.752
36.47,6.67,154249.565
16.33,5.77,218757.1645
23.64,3.49,283028.7124
28.4,4.69,308120.0689
59.38,10.0,377092.29
0.75,8.5,226944.7235
62.7,10.0,498851.7088
52.86,6.03,471721.7656
27.0,5.76,340863.3536
43.55,5.71,415436.8385
20.75,6.63,257606.4882
44.94,7.65,153573.3276
0.89,2.47,201622.4738
38.21,5.65,324848.6239
32.86,7.61,520671.8883
26.34,6.93,459045.6798
35.85,7.29,181434.0593
25.53,5.05,158116.3485
44.84,4.77,113935.0884
17.32,10.0,452654.1891
21.76,7.32,218601.7834
8.14,6.79,211649.1352
72.88,4.81,161330.406
61.77,4.83,324782.6328
49.13,4.41,434970.7078
28.98,7.03,112980.7449
36.18,6.39,425157.08
27.68,7.61,138602.8269
51.49,8.9,168483.329
5.77,7.88,230173.566
81.87,6.23,156294.8951
39.14,7.04,189162.786
34.6,7.86,253476.2673
16.78,7.15,302975.6561
57.1,5.96,247180.2754
57.98,6.32,255230.9738
17.66,5.36,371325.8584
52.85,5.68,146124.9394
37.68,3.79,104735.1932
80.57,7.29,116907.4444
31.16,8.24,717578.6979
3.64,9.17,432952.5713
40.39,5.91,282253.0256
25.87,7.87,157531.1689
3.24,8.34,492566.1352
59.57,4.56,206191.2904
27.83,6.72,481402.8049
36.3,6.19,165108.6084
22.13,10.0,297382.5679
47.08,6.35,262980.2794
66.78,6.64,171613.4246
79.29,7.52,106645.3587
3.29,10.0,469389.2362
48.83,3.45,97058.08872
38.21,5.49,205937.7401
66.01,6.56,376242.2191
33.49,6.43,398689.0703
19.79,9.63,369749.0723
25.46,4.99,262871.0421
20.92,6.38,290802.8624
51.98,9.23,878270.4815
22.54,7.9,461560.2178
49.4,6.08,324387.7875
24.39,9.29,191370.9394
6.89,8.63,228871.9721
37.47,8.33,413696.176
35.26,7.06,148852.0295
24.92,6.51,607617.5735
56.39,5.88,309475.7389
44.46,8.52,290743.0373
56.14,8.98,277934.3181
20.67,5.96,114524.9105
17.41,6.9,403001.0933
2.07,7.03,504229.4659
3.97,5.75,163575.4804
51.78,5.87,153535.3657
3.36,8.44,212943.7066
38.53,6.61,277441.6937
7.19,6.52,446406.9359
35.77,10.0,573920.1164
10.09,7.06,189396.4227
16.35,6.96,441280.179
17.88,6.77,337640.8887
9.39,8.11,98513.09269
23.35,9.09,379212.9742
25.71,10.0,347345.675
58.72,8.22,579785.4694
10.11,10.0,257522.3403
9.77,7.36,244850.0049
44.14,4.69,354263.9805
30.7,8.08,475262.5456
11.86,7.47,157501.3561
38.08,8.85,327189.4572
63.39,4.12,208975.1804
42.01,8.24,168431.4026
29.77,7.49,421524.3866
8.1,4.42,154990.6295
25.89,7.57,181631.6169
23.36,6.42,145468.7412
46.69,5.89,365322.3062
39.94,10.0,508240.4454
34.59,6.2,297070.034
14.71,4.69,454453.7197
57.1,9.6,220849.5079
4.08,6.59,196117.0289
44.06,6.49,300684.2367
17.68,8.6,298345.4482
40.22,4.81,354524.7111
33.1,7.25,158471.7514
35.32,9.89,369438.1439
42.44,6.7,90122.38554
13.42,8.38,326008.5763
23.38,8.87,225542.0184
39.23,6.53,206050.2198
29.13,3.35,158839.4141
43.89,8.29,413218.8644
14.51,4.62,197193.796
76.02,4.69,273247.2535
19.23,5.89,262492.94
59.39,2.05,562484.0227
15.76,8.62,349391.2377
28.65,7.23,159395.7219
25.47,7.55,203564.234
45.12,6.03,354353.6387
43.88,4.17,161533.5785
18.16,10.0,283822.2283
58.61,6.52,144490.858
41.4,4.38,182140.9594
24.73,9.21,459567.602
14.16,8.44,279109.5484
26.87,8.16,363057.9952
42.24,6.09,300974.5539
35.43,8.0,362917.3377
52.5,8.29,343937.572
31.81,5.52,258216.0685
10.54,6.77,91763.35075
29.3,6.55,380733.0623
51.02,7.74,650641.7431
34.46,5.98,303786.0932
70.9,6.38,344545.4984
30.89,6.61,174760.7324
31.81,9.66,251945.1802
25.98,6.85,644542.115
57.51,6.88,597377.9812
21.69,4.74,113867.704
28.92,4.79,300406.5819
60.47,9.6,330090.5606
37.82,9.72,318574.1442
33.9,9.93,238916.7137
41.48,5.93,193579.1699
51.76,5.44,341148.4504
18.37,6.39,321072.6461
48.26,7.63,381701.4755
21.85,6.03,173670.6252
38.52,7.85,461667.4612
57.21,7.65,295342.0273
35.72,5.36,196765.808
1.5,8.75,260260.6374
45.77,4.69,263931.7455
20.43,4.63,293232.5093
2.44,7.29,218397.4733
28.12,7.3,475850.3779
66.52,9.34,401135.7425
31.76,7.2,113721.45
0.76,4.56,146057.4532
38.89,8.21,340862.5578
22.64,5.89,156453.1818
40.4,4.73,154177.1892
43.86,7.07,196785.7624
40.72,6.2,116731.4427
4.18,7.5,222404.4952
60.14,9.08,535479.8648
28.22,4.92,181909.8306
18.7,9.07,415496.8971
37.25,7.16,298185.2356
15.3,7.45,421852.2768
9.82,9.94,473601.4141
39.81,6.92,334716.2929
28.74,5.92,575304.7083
46.58,10.0,477452.2338
18.57,7.75,153829.4032
34.45,6.97,382171.5594
45.49,2.1,118599.8402
7.63,8.33,575023.6845
7.08,2.69,248163.8659
47.1,8.57,268929.6573
20.22,6.07,481639.5277
0.57,8.05,160415.9956
30.7,6.74,126134.1796
25.34,10.0,488872.2089
12.87,5.23,384158.1752
5.54,5.48,121606.9623
52.18,6.24,564601.8115
62.06,5.37,196541.7694
58.13,10.0,363716.895
43.92,4.25,122427.5754
7.43,8.79,416898.1012
22.35,8.03,307135.0187
29.08,7.19,264808.5711
52.34,5.87,397043.65
26.02,5.32,601100.0146
4.24,7.88,149985.9048
34.01,5.77,502007.3141
36.13,8.15,411710.1671
8.9,8.02,373416.1307
51.13,7.05,1004323.974
44.48,6.78,388416.6197
34.45,5.53,190849.8791
10.32,7.27,153165.0037
13.05,7.26,165482.0594
21.07,6.73,354213.0866
18.24,7.76,536376.4065
47.98,7.36,380064.2378
10.75,8.86,268381.7089
43.97,4.22,120929.0389
39.59,4.94,276114.303
67.78,9.41,256574.4397
23.98,7.77,137600.1985
11.02,8.32,472945.5328
19.53,6.59,129572.8694
12.97,5.55,161248.7798
41.5,5.47,158634.0109
18.28,4.37,194009.7516
20.81,8.63,456965.1835
17.28,6.89,268454.0863
39.51,8.33,274113.6555
25.23,10.0,438926.1957
55.69,4.58,418497.7631
36.83,7.51,166751.417
16.53,8.57,216188.2021
27.8,8.79,328445.3249
33.95,1.36,103080.8523
22.27,6.49,273449.9487
46.29,10.0,301173.9556
30.4,5.15,226058.3649
7.86,5.27,425167.2697
8.59,8.18,306655.055
60.33,6.68,493844.755
30.09,5.88,98435.51986
10.8,7.53,372032.2221
15.22,10.0,506532.904
19.26,5.71,85000.0
24.1,7.48,224345.928
1.28,7.86,256751.1774
19.19,7.3,396534.8625
33.95,8.67,332189.1019
40.54,2.71,291614.0944
42.74,4.95,361398.7754
2.75,4.88,346686.6221
3.33,9.31,404481.797
39.0,1.6,143269.7371
23.5,7.0,284876.22
54.42,7.51,198274.6968
30.82,5.2,133859.3801
48.81,5.99,829612.6819
29.65,4.43,335982.5127
24.65,6.87,223625.846
47.79,7.01,189578.0677
8.34,9.39,374159.8778
53.27,9.39,212120.0921
30.26,4.36,107444.0965
23.68,9.52,322050.2796
68.84,5.0,334675.3086
36.62,7.67,265407.0054
31.18,7.66,281180.6138
7.12,10.0,371639.9016
38.52,9.71,309018.0742
37.0,6.05,365276.7021
36.03,6.96,192110.0073
21.43,5.71,387762.1979
37.43,6.88,254413.1466
31.02,7.0,298185.6107
35.56,8.35,328661.4105
44.62,5.96,403526.8027
15.61,4.38,305972.3126
40.49,6.59,159151.9278
46.27,8.9,500877.557
36.27,7.95,536029.0706
20.91,8.3,467226.488
53.63,7.1,139404.3725
32.79,6.22,594199.6817
44.28,4.12,227814.0832
13.8,9.48,662215.8511
39.86,7.99,324162.0997
28.95,4.91,300946.7406
11.77,5.59,219833.9251
15.07,9.25,685133.8945
23.0,4.66,105967.4529
18.0,8.29,378592.8484
34.75,4.75,252206.3363
49.87,6.16,200331.3534
45.34,5.72,165834.1971
89.38,8.53,410459.3708
22.34,5.76,96863.68367
26.63,7.65,367594.2369
7.73,8.18,334478.0946
30.72,9.82,342679.5368
11.22,6.04,144362.9708
28.01,10.0,475523.4029
2.54,7.58,456164.2115
27.38,10.0,313652.0388
36.04,5.09,330395.2954
23.73,8.01,231074.2306
19.58,8.43,285138.4883
39.7,5.31,228904.7746
33.3,4.96,434637.2054
27.11,3.74,429663.1204
11.06,10.0,722574.6253
7.25,7.99,122436.7116
21.84,6.03,291613.4365
40.12,5.15,130765.982
70.03,5.99,163287.2633
31.43,5.21,789259.36
69.53,5.96,337003.2336
33.12,7.52,413003.9979
21.86,7.14,470714.7115
33.9,7.36,596002.3773
38.19,6.09,170764.9409
41.32,6.33,660281.9581
39.7,8.34,380782.1881
43.28,4.5,417593.3801
22.2,7.65,496358.2834
16.99,10.0,557698.2794
19.66,2.07,190469.5938
2.67,10.0,625748.35
45.39,6.24,222101.5906
21.32,8.24,554555.2712
17.36,8.28,340925.1564
2.21,6.12,175648.9446
36.77,5.34,121420.1686
45.43,7.47,760446.2967
37.63,2.66,182395.2099
43.96,5.07,404654.1572
42.11,6.15,640135.6395
62.41,5.63,285644.6181
19.18,4.74,112529.2773
21.7,6.72,197180.0
41.33,4.63,300227.2395
38.7,5.24,202880.5964
10.02,7.34,280460.0013
9.41,8.86,104435.5011
13.52,9.61,345373.5712
41.23,6.94,248403.4061
43.4,7.79,683500.7185
81.77,7.84,414467.0282
24.47,10.0,476570.3733
50.29,7.05,445799.2446
59.56,6.21,313430.0109
10.39,4.07,586225.2075
24.14,7.08,330678.6526
21.33,8.87,931377.1891
55.87,9.02,266749.8707
27.19,7.55,150955.8344
52.03,6.07,204501.6496
0.4,8.77,226404.3435
62.78,7.3,277702.0739
49.94,7.66,423935.6588
29.36,6.79,265124.8389
57.27,6.19,366361.8071
53.87,1.97,133591.3704
0.62,8.07,401829.2799
18.81,9.75,500642.8657
51.03,7.86,418899.9362
54.86,7.59,556251.2911
37.32,7.48,436602.8189
46.36,4.74,319668.9235
57.64,6.38,297866.4092
39.8,3.09,168100.8249
51.88,9.7,399559.1881
41.72,5.56,296815.2986
38.48,6.9,216691.1785
56.45,8.77,342115.0793
2.68,8.04,88969.66014
76.09,4.64,208764.2546
25.42,7.95,298957.4967
9.24,5.36,266952.8137
15.19,9.13,516382.1541
51.47,3.81,172426.9023
64.48,4.99,199372.794
42.59,5.26,155726.5703
10.7,8.36,180015.2789
4.99,6.26,208805.3098
39.6,4.63,334952.6535
27.97,10.0,669964.7707
45.77,1.78,165809.6323
51.99,4.42,333524.6641
20.44,10.0,312146.1179
46.53,6.4,557907.882
37.81,6.44,570208.7807
33.69,6.94,212593.3699
38.9,7.1,128708.696
47.95,8.68,155735.0323
3.76,8.97,269408.846
0.72,7.77,279007.9273
61.26,5.45,395658.2952
28.45,5.41,505005.466
44.25,8.65,210645.6183
20.37,6.71,330731.053
31.76,8.02,151940.0427
46.86,8.51,301953.5935
49.17,5.27,191893.9135
12.29,9.06,435340.0265
56.21,9.2,135238.8633
64.77,6.55,422422.0922
30.12,4.67,222700.0343
60.9,7.84,199811.224
38.98,8.98,419228.1018
36.53,8.28,124195.6191
22.38,5.09,189138.1239
44.51,5.52,174835.0863
40.26,8.36,483033.3232
10.91,4.43,214365.1076
3.85,10.0,190229.8273
44.9,4.5,257123.6481
32.03,8.26,386734.8426
29.83,5.01,255046.6856
